,disease 1,disease 2,distance
0,atherosclerosis,pancreatic cancer,4.091352147063657
0,atherosclerosis,pancreatic ductal adenocarcinoma,3.319291755522162
0,atherosclerosis,papillary thyroid carcinoma,3.0793372265566736
0,atherosclerosis,pre-eclampsia,3.928699338247965
0,atherosclerosis,prostate adenocarcinoma,3.640133893102072
0,atherosclerosis,prostate cancer,3.511813267147451
0,atherosclerosis,pulmonary tuberculosis,3.6026518114722776
0,atherosclerosis,rheumatoid arthritis,3.192305660020178
0,atherosclerosis,silicosis,3.992137464551485
0,atherosclerosis,systemic lupus erythematosus,4.055602304903673
0,atherosclerosis,thoracic aortic dissection,3.561551710314161
0,atherosclerosis,tuberculosis,3.38426121750807
0,atherosclerosis,type 2 diabetes mellitus,4.371352359851716
0,basal cell carcinoma,bladder cancer,3.854792365365387
0,basal cell carcinoma,bladder urothelial carcinoma,4.054244596470353
0,basal cell carcinoma,breast cancer,3.617687079211858
0,basal cell carcinoma,cardiovascular disease,3.490797017465435
0,basal cell carcinoma,cervical cancer,3.5489901806747253
0,basal cell carcinoma,cervical carcinoma,3.8770773596031156
0,basal cell carcinoma,cholangiocarcinoma,3.5579438660681064
0,basal cell carcinoma,clear cell renal cell carcinoma,4.251164674716665
0,basal cell carcinoma,colon cancer,3.9340649441158355
0,basal cell carcinoma,colorectal cancer,3.875823534249765
0,basal cell carcinoma,coronary artery disease,3.682844713615016
0,basal cell carcinoma,cutaneous squamous cell carcinoma,3.8589353943143503
0,basal cell carcinoma,diabetes mellitus,3.6025620659971542
0,basal cell carcinoma,diabetic retinopathy,3.7084054456930513
0,basal cell carcinoma,dilated cardiomyopathy,4.71155082785532
0,basal cell carcinoma,endometrial cancer,4.204624665610527
0,basal cell carcinoma,esophageal cancer,4.00843834312981
0,basal cell carcinoma,esophageal squamous cell carcinoma,4.174217397563638
0,basal cell carcinoma,essential hypertension,3.558470336135148
0,basal cell carcinoma,gastric cancer,3.8272953332180966
0,basal cell carcinoma,gestational diabetes mellitus,3.55728798109976
0,basal cell carcinoma,glioblastoma,3.51849187336948
0,basal cell carcinoma,glioblastoma multiforme,3.7539260715111067
0,basal cell carcinoma,glioma,3.594673259692221
0,basal cell carcinoma,heart disease,3.651798763630731
0,basal cell carcinoma,hepatic steatosis,4.3723565404562255
0,basal cell carcinoma,hepatoblastoma,3.9805090494768094
0,basal cell carcinoma,hepatocellular carcinoma,3.9144434368424132
0,basal cell carcinoma,hirschsprung disease,4.022010685253391
0,basal cell carcinoma,hypertension,3.624386778568373
0,basal cell carcinoma,hypertrophic cardiomyopathy,3.62464049357407
0,basal cell carcinoma,hypopharyngeal squamous cell carcinoma,3.4241189894662583
0,basal cell carcinoma,infantile hemangioma,3.675811457113971
0,basal cell carcinoma,intervertebral disc degeneration,3.6918336359412507
0,basal cell carcinoma,leukoaraiosis,3.9665157382871263
0,basal cell carcinoma,liver cancer,3.43608840004217
0,basal cell carcinoma,lung adenocarcinoma,4.0148668513594465
0,basal cell carcinoma,lung cancer,3.755109551963737
0,basal cell carcinoma,lupus nephritis,3.8084163147773786
0,basal cell carcinoma,major depressive disorder,3.6421033132449643
0,basal cell carcinoma,moyamoya disease,4.115606764647873
0,basal cell carcinoma,multiple sclerosis,3.558971063101876
0,basal cell carcinoma,multiple system atrophy,4.582790535768009
0,basal cell carcinoma,myocardial infarction,3.5522549996522184
0,basal cell carcinoma,neuropathic pain,4.365376035266904
0,basal cell carcinoma,nonalcoholic steatohepatitis,3.86612078982104
0,basal cell carcinoma,non-small cell lung cancer,3.766078766765987
0,basal cell carcinoma,oral squamous cell carcinoma,3.4719576257950044
0,basal cell carcinoma,osteoarthritis,3.941047063399968
0,basal cell carcinoma,osteosarcoma,3.733014588291751
0,basal cell carcinoma,ovarian endometriosis,3.441393244393802
0,basal cell carcinoma,pancreatic cancer,4.050002024573744
0,basal cell carcinoma,pancreatic ductal adenocarcinoma,3.6423228632777134
0,basal cell carcinoma,papillary thyroid carcinoma,3.492805134588521
0,basal cell carcinoma,pre-eclampsia,4.120048583208308
0,basal cell carcinoma,prostate adenocarcinoma,3.5200386598259925
0,basal cell carcinoma,prostate cancer,3.5983019158254517
